Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2021-05-17,ALB,Albania,41.156986,20.181222,132032,2435,125419,4178,71,9,False,False,AL
2021-05-18,AND,Andorra,42.542268,1.596865,13569,127,,,3,,False,False,AD
2021-05-17,AUT,Austria,47.697542,13.349319,634095,10239,603414,20442,624,290,True,True,AT
2021-05-18,BLR,Belarus,53.711111,27.973847,378711,2721,,,,,False,False,BY
2021-05-17,BEL,Belgium,50.499527,4.475402,1032895,24723,,,1857,610,True,True,BE
2021-05-18,BIH,Bosnia and Herzegovina,43.892652,17.670584,202675,9070,170256,23349,,,False,False,BA
2021-05-18,BGR,Bulgaria,42.729862,25.491667,414869,17343,364682,32844,,,True,True,BG
2021-05-16,HRV,Croatia,44.48732,16.460306,350390,7708,336450,6232,,,True,True,HR
2021-05-16,CYP,Cyprus,35.167406,33.435499,71231,415,59891,10925,1630,,True,True,CY
2021-05-17,CZE,Czech Republic,49.800901,15.478153,1654219,29933,1599881,24405,,,True,True,CZ
2021-05-18,DNK,Denmark,56.155403,11.617223,268255,2503,252686,13066,166,0,True,True,DK
2021-05-18,EST,Estonia,58.596209,25.023778,127500,1229,,,,,True,True,EE
2021-05-18,FIN,Finland,64.952416,26.068944,90400,846,0,89554,,,True,True,FI
2021-05-17,FRA,France,46.232193,2.209667,5942370,81505,358776,5502089,22749,4186,True,True,FR
2021-05-18,DEU,Germany,51.165706,10.452764,3603057,86381,3320300,196376,,,True,True,DE
2021-05-17,GRC,Greece,38.275283,23.810343,378485,11471,93764,273250,,,True,True,EL
2021-05-18,HUN,Hungary,47.164638,19.508944,798955,29277,640964,128714,2197,251,True,True,HU
2021-05-17,ISL,Iceland,64.963942,-19.021169,6548,29,6456,63,,,False,True,IS
2021-05-14,IRL,Ireland,53.41975,-8.240472,254870,4941,,,14430,1543,True,True,IE
2021-05-18,ITA,Italy,41.873987,12.564167,4167025,124497,3727220,315308,13228,1689,True,True,IT
2021-05-09,XKX,Kosovo,41.85637,21.803351,106489,2210,,,,,False,False,XK
2021-05-18,LVA,Latvia,56.875584,24.607722,128688,2280,,,,,True,True,LV
2021-05-17,LIE,Liechtenstein,47.164696,9.555,2990,58,2887,45,,,False,False,LI
2021-05-17,LTU,Lithuania,55.174112,23.906736,266795,4126,242103,20566,,,True,True,LT
2021-05-17,LUX,Luxembourg,49.815764,6.131514,69239,808,,,,,True,True,LU
2021-05-18,MLT,Malta,35.946151,14.384612,30486,417,29941,128,,,True,True,MT
2021-05-17,MDA,Moldova,46.979527,28.377195,253954,6034,245031,2889,,,False,False,MD
2021-05-17,MCO,Monaco,43.738348,7.424451,2494,32,2446,16,,,False,False,MC
2021-05-18,MNE,Montenegro,42.710152,19.410069,98971,1564,,,0,,False,True,ME
2021-05-18,NLD,Netherlands,52.133057,5.29525,1606319,23611,0,1582708,41751,0,True,True,NL
2021-05-17,MKD,North Macedonia,41.611,21.751417,154725,5230,146043,3452,,,False,True,MK
2021-05-17,NOR,Norway,64.583013,17.86411,117095,774,0,116321,4364,838,False,True,NO
2021-05-18,POL,Poland,51.92275,19.136875,2856924,71920,2609216,175788,,,True,True,PL
2021-05-17,PRT,Portugal,39.553444,-7.839319,842402,17009,803191,22202,246,72,True,True,PT
2021-05-18,ROU,Romania,45.947125,24.980514,1072349,29571,,,,,True,True,RO
2021-05-18,RUS,Russian Fed.,61.523111,-74.9,4957756,118691,4572226,266839,0,0,False,False,RU
2021-05-17,SMR,San Marino,43.942973,12.460035,5087,90,4974,23,,,False,False,SM
2021-05-17,SRB,Serbia,44.206802,20.911009,707033,6696,0,700337,,,False,True,RS
2021-05-18,SVK,Slovakia,48.665639,19.709097,387892,12248,,,723,86,True,True,SK
2021-05-17,SVN,Slovenia,46.145528,14.974541,249921,4658,13766,231497,383,113,True,True,SI
2021-05-17,ESP,Spain,39.896027,-2.487694,3615860,79432,,,6923,1836,True,True,ES
2021-05-17,SWE,Sweden,62.199806,17.637493,1047143,14301,,,,7345,True,True,SE
2021-05-18,CHE,Switzerland,46.815514,8.224472,676671,10795,94148,571728,662,141,False,False,CH
2021-05-17,TUR,Turkey,38.961516,35.25175,5127548,44983,4961120,121445,,,False,True,TR
2021-05-18,UKR,Ukraine,48.379888,31.168139,2160095,48469,1882344,229282,,,False,False,UA
2021-05-17,GBR,United Kingdom,54.633221,-3.432277,4452766,127684,0,4325082,,,False,True,UK
