Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2021-05-15,ITA,Italy,Trento,46.139153,10.830791,44831,1349,42682,800,65,18,True,True,ITH2
2021-05-15,ITA,Italy,Umbria,42.966781,12.49094,55745,1377,51962,2406,138,16,True,True,ITI2
2021-05-15,ITA,Italy,Valle d'Aosta,45.732414,7.393651,11364,467,10425,472,29,5,True,True,ITC2
2021-05-15,ITA,Italy,Veneto,45.664735,11.84235,419901,11483,392524,15894,682,97,True,True,ITH3
2021-05-02,XKX,Kosovo,NOT SPECIFIED,41.85637,21.803351,106489,2210,,,,,False,False,XK
2021-05-15,LVA,Latvia,Latvia,56.875584,24.607722,127597,2257,,125340,,,True,True,LV0
2021-05-14,LIE,Liechtenstein,Liechtenstein,47.164696,9.555,2981,58,2887,36,,,False,False,LI
2021-05-14,LTU,Lithuania,Lithuania,55.174112,23.906736,264724,4088,239702,20934,,,True,True,LT
2021-05-13,LUX,Luxembourg,Luxembourg,49.815764,6.131514,68922,806,,68116,,,True,True,LU
2021-05-15,MLT,Malta,Malta,35.946151,14.384612,30478,417,29884,177,,,True,True,MT001
2021-05-15,MDA,Moldova,Moldova,46.979527,28.377195,253736,6016,244664,3056,,,False,False,MD
2021-05-14,MCO,Monaco,Monaco,43.738348,7.424451,2490,32,2428,30,,,False,False,MC
2021-05-15,MNE,Montenegro,Montenegro,42.710152,19.410069,98778,1560,,97218,0,,False,True,ME
2021-05-15,NLD,Netherlands,Drenthe,52.863149,6.623756,32439,350,,32089,543,,True,True,NL13
2021-05-15,NLD,Netherlands,Flevoland,52.436257,5.519078,35378,240,,35138,627,,True,True,NL23
2021-05-15,NLD,Netherlands,Friesland,53.089388,5.871457,41517,472,,41045,505,,True,True,NL12
2021-05-15,NLD,Netherlands,Gelderland,52.061726,5.945178,178392,2003,,176389,2923,,True,True,NL22
2021-05-15,NLD,Netherlands,Groningen,53.291466,6.700488,35946,250,,35696,392,,True,True,NL11
2021-05-15,NLD,Netherlands,Limburg,51.207579,5.936318,109477,1615,,107862,2628,,True,True,NL42
2021-05-15,NLD,Netherlands,North Brabant,51.527534,5.590194,257940,3095,,254845,4871,,True,True,NL41
2021-05-15,NLD,Netherlands,North Holland,52.551824,4.876581,266603,2568,,264035,4562,,True,True,NL32
2020-07-17,NLD,Netherlands,NOT SPECIFIED,,,0,6138,0,-6138,11894,0,True,True,
2021-05-15,NLD,Netherlands,Overijssel,52.445136,6.4476,104051,1122,,102929,1341,,True,True,NL21
2021-05-15,NLD,Netherlands,South Holland,51.968696,4.541274,381693,4214,,377479,7965,,True,True,NL33
2021-05-15,NLD,Netherlands,Utrecht,52.078728,5.214048,122179,1266,,120913,2597,,True,True,NL31
2021-05-15,NLD,Netherlands,Zeeland,51.312779,3.786651,28113,241,,27872,753,,True,True,NL34
2021-05-14,MKD,North Macedonia,North Macedonia,41.611,21.751417,154524,5184,143427,5913,,,False,True,MK
2021-05-14,NOR,Norway,Agder,58.699661,7.618403,3649,,,3649,,,False,True,NO04
2021-05-14,NOR,Norway,Innlandet,61.43354,10.427144,4879,,,4879,,,False,True,NO02
