Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2021-05-10,ALB,Albania,Berat,40.6285,20.090775,6633,94,6450,89,5,0,False,False,AL031
2021-05-10,ALB,Albania,Dibër,,,2505,48,2375,82,2,0,False,False,AL011
2021-05-10,ALB,Albania,Durrës,41.518365,19.651766,10223,231,9809,183,6,1,False,False,AL012
2021-05-10,ALB,Albania,Elbasan,41.040028,20.186454,8675,248,8294,133,6,1,False,False,AL021
2021-05-10,ALB,Albania,Fier,40.774633,19.620528,11518,238,11017,263,9,0,False,False,AL032
2021-05-10,ALB,Albania,Gjirokastër,,,4847,61,4548,238,3,0,False,False,AL033
2021-05-10,ALB,Albania,Korçë,40.62883,20.666004,6668,115,6323,230,4,0,False,False,AL034
2021-05-10,ALB,Albania,Kukës,42.066696,20.419467,2857,34,2761,62,0,0,False,False,AL013
2021-05-10,ALB,Albania,Lezhë,41.801452,19.845695,6140,91,5949,100,2,0,False,False,AL014
2021-05-10,ALB,Albania,NOT SPECIFIED,,,,,,0,,,False,False,
2021-05-10,ALB,Albania,Shkodër,42.17682,19.719451,7380,141,6912,327,6,0,False,False,AL015
2021-05-10,ALB,Albania,Tiranë,41.268583,19.793936,55246,990,44849,9407,41,4,False,False,AL022
2021-05-10,ALB,Albania,Vlorë,40.162418,19.793592,9061,125,8754,182,9,0,False,False,AL035
2021-05-11,AND,Andorra,Andorra,42.542268,1.596865,13447,127,,13320,9,,False,False,AD
2021-05-10,AUT,Austria,Burgenland,47.541449,16.520206,17891,318,17158,415,13,16,True,True,AT11
2021-05-10,AUT,Austria,Kärnten,46.715832,14.455532,39280,806,37085,1389,33,10,True,True,AT21
2021-05-10,AUT,Austria,Niederösterreich,48.27051,15.763245,105299,1596,100382,3321,155,72,True,True,AT12
2021-05-10,AUT,Austria,NOT SPECIFIED,,,,,,0,,,True,True,
2021-05-10,AUT,Austria,Oberösterreich,48.138166,13.964295,114134,1581,107678,4875,111,60,True,True,AT31
2021-05-10,AUT,Austria,Salzburg,47.254051,13.032653,49527,581,47592,1354,41,19,True,True,AT32
2021-05-10,AUT,Austria,Steiermark,47.187361,15.518046,77939,2036,72600,3303,184,40,True,True,AT22
2021-05-10,AUT,Austria,Tirol,47.209023,11.397603,61289,678,58961,1650,58,29,True,True,AT33
2021-05-10,AUT,Austria,Vorarlberg,47.240149,9.896366,28870,299,26885,1686,33,8,True,True,AT34
2021-05-10,AUT,Austria,Wien,48.21141,16.380038,134485,2261,122560,9664,235,131,True,True,AT13
2021-05-11,BLR,Belarus,Belarus,53.711111,27.973847,370509,2652,,367857,,,False,False,BY
2021-05-09,BEL,Belgium,Brussels,50.836426,4.367415,125251,3169,,122082,337,107,True,True,BE1
2021-05-09,BEL,Belgium,Flanders,51.036569,4.234165,473386,12456,,460930,992,342,True,True,BE2
2021-05-09,BEL,Belgium,NOT SPECIFIED,,,19404,0,,19404,0,0,True,True,
2021-05-09,BEL,Belgium,Wallonia,50.312074,5.019093,398568,8926,,389642,846,251,True,True,BE3
2021-05-11,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,43.892652,17.670584,201512,8912,166887,25713,,,False,False,BA
2021-05-11,BGR,Bulgaria,Blagoevgrad,41.72282,23.424299,18175,10,10,18155,,,True,True,BG413
2021-05-11,BGR,Bulgaria,Burgas,42.491848,27.306892,26931,1,19,26911,,,True,True,BG341
2021-05-11,BGR,Bulgaria,Dobrich,43.65074,27.936751,7717,0,2,7715,,,True,True,BG332
2021-05-11,BGR,Bulgaria,Gabrovo,42.931879,25.247163,6605,1,2,6602,,,True,True,BG322
2021-05-11,BGR,Bulgaria,Haskovo,41.849113,25.942349,9667,1,7,9659,,,True,True,BG422
2021-05-11,BGR,Bulgaria,Kardzhali,41.527042,25.441477,4397,0,4,4393,,,True,True,BG425
